character_name,series_name,figure_name,price,probability,figure_photo
Peach Riot,Rise Up,Poppy: Baddie on Bass,$17.99,1/12,
Peach Riot,Rise Up,Gigi: Lil' Lead,$17.99,1/12,
Peach Riot,Rise Up,Frankie: Sick Beats,$17.99,1/12,
Peach Riot,Rise Up,Poppy: Business,$17.99,1/12,
Peach Riot,Rise Up,Gigi: Brain Stormer,$17.99,1/12,
Peach Riot,Rise Up,Frankie: The Boss,$17.99,1/12,
Peach Riot,Rise Up,Poppy: Cutie,$17.99,1/12,
Peach Riot,Rise Up,Gigi: Pop Star,$17.99,1/12,
Peach Riot,Rise Up,Frankie: Diva,$17.99,1/12,
Peach Riot,Rise Up,Poppy: Electric Funk,$17.99,1/12,
Peach Riot,Rise Up,Gigi: The Singer,$17.99,1/12,
Peach Riot,Rise Up,Frankie: The Rhythm,$17.99,1/12,
Peach Riot,Rise Up,Gigi: The Gleeman,$17.99,1/144,
Peach Riot,Punk Fairy,Poppy: Daisy,$17.99,1/12,
Peach Riot,Punk Fairy,Gigi: Sweet Pea,$17.99,1/12,
Peach Riot,Punk Fairy,Frankie: Sunflower,$17.99,1/12,
Peach Riot,Punk Fairy,Poppy: Tree Stump,$17.99,1/12,
Peach Riot,Punk Fairy,Gigi: Mushroom,$17.99,1/12,
Peach Riot,Punk Fairy,Frankie: Lily Pad,$17.99,1/12,
Peach Riot,Punk Fairy,Poppy: Acorn,$17.99,1/12,
Peach Riot,Punk Fairy,Gigi: Leaf,$17.99,1/12,
Peach Riot,Punk Fairy,Frankie: Rainstorm,$17.99,1/12,
Peach Riot,Punk Fairy,Poppy: Morning Dew,$17.99,1/12,
Peach Riot,Punk Fairy,Gigi: Ice,$17.99,1/12,
Peach Riot,Punk Fairy,Frankie: Moonrise,$17.99,1/12,
Peach Riot,Punk Fairy,Poppy: Strawberry,$17.99,1/144,
Peach Riot,Lil' Peach Riot: Loading!,Frankie: Dancer,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Gigi: Fire,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Poppy: Valkyrie,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Frankie: Scout,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Gigi: Darkness,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Poppy: Princess,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Frankie: Knight,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Gigi: Thief,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Poppy: Saint,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Frankie: Mage,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Gigi: Cheerleader,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Poppy: Starlight,$16.99,1/12,
Peach Riot,Lil' Peach Riot: Loading!,Gigi: Stylist,$16.99,1/144,
Peach Riot,Rush Hour,Gigi: Diner,$17.99,1/12,
Peach Riot,Rush Hour,Frankie: Barista,$17.99,1/12,
Peach Riot,Rush Hour,Poppy: Ice Cream Parlor,$17.99,1/12,
Peach Riot,Rush Hour,Gigi: HouseKeeping,$17.99,1/12,
Peach Riot,Rush Hour,Frankie: Autoshop,$17.99,1/12,
Peach Riot,Rush Hour,Poppy: Scientist,$17.99,1/12,
Peach Riot,Rush Hour,Gigi: Mail Delivery,$17.99,1/12,
Peach Riot,Rush Hour,Frankie: Tutor,$17.99,1/12,
Peach Riot,Rush Hour,Poppy: Receptionist,$17.99,1/12,
Peach Riot,Rush Hour,Gigi: Cat Walker,$17.99,1/12,
Peach Riot,Rush Hour,Frankie: Camp Counselor,$17.99,1/12,
Peach Riot,Rush Hour,Poppy: Life Guard,$17.99,1/12,
Peach Riot,Rush Hour,Frankie: Streamer,$17.99,1/144,
Skullpanda,Warmth,The Raining Day,$15.99,1/12,
Skullpanda,Warmth,The Encounter,$15.99,1/12,
Skullpanda,Warmth,The Day Off,$15.99,1/12,
Skullpanda,Warmth,Enjoy Oneself,$15.99,1/12,
Skullpanda,Warmth,Mind With The Wind,$15.99,1/12,
Skullpanda,Warmth,Doodling,$15.99,1/12,
Skullpanda,Warmth,Wandering,$15.99,1/12,
Skullpanda,Warmth,Recall The Past,$15.99,1/12,
Skullpanda,Warmth,Chirping,$15.99,1/12,
Skullpanda,Warmth,Loosening,$15.99,1/12,
Skullpanda,Warmth,Taste From The Memory,$15.99,1/12,
Skullpanda,Warmth,The Scent,$15.99,1/12,
Skullpanda,Warmth,The Warmth,$15.99,1/144,
Skullpanda,Ancient Castle,Phantom,$14.99,1/12,
Skullpanda,Ancient Castle,Chamberlain,$14.99,1/12,
Skullpanda,Ancient Castle,Bell-ringer,$14.99,1/12,
Skullpanda,Ancient Castle,Bloody Rose,$14.99,1/12,
Skullpanda,Ancient Castle,Nurse,$14.99,1/12,
Skullpanda,Ancient Castle,Baby Zombie,$14.99,1/12,
Skullpanda,Ancient Castle,Fake Evil,$14.99,1/12,
Skullpanda,Ancient Castle,Fake Angle,$14.99,1/12,
