year,funding
1976,86227000000.0
1977,91807000000.0
1978,94864000000.0
1979,96601000000.0
1980,96305000000.0
1981,98304000000.0
1982,95448000000.0
1983,95010000000.0
1984,105371000000.0
1985,114818000000.0
1986,118231000000.0
1987,125314000000.0
1988,126800000000.0
1989,128912000000.0
1990,129126000000.0
1991,130008000000.0
1992,133172000000.0
1993,132080000000.0
1994,127278000000.0
1995,124883000000.0
1996,123978000000.0
1997,127018000000.0
1998,129698000000.0
1999,136867000000.0
2000,142299000000.0
2001,153197000000.0
2002,170354000000.0
2003,192010000000.0
2004,199104000000.0
2005,200099000000.0
2006,199429000000.0
2007,201827000000.0
2008,200857000000.0
2009,201275000000.0
2010,204556000000.0
2011,194256000000.0
2012,188944000000.0
2013,172121000000.0
2014,175383000000.0
2015,174608000000.0
2016,185885000000.0
2017,163606000000.0
